District,Successor
Alnwick,Northumberland
Bath,Bath and North East Somerset
Berwick-upon-Tweed,Northumberland
Beverley,East Riding of Yorkshire
Blyth Valley,Northumberland
Boothferry,East Riding of Yorkshire and North Lincolnshire
Bournemouth,"Bournemouth, Christchurch and Poole"
Bridgnorth,Shropshire
Brighton,Brighton and Hove
Caradon,Cornwall
Carrick,Cornwall
Castle Morpeth,Northumberland
Chester,Cheshire West and Chester
Chester-le-Street,County Durham
Christchurch,"Bournemouth, Christchurch and Poole"
Cleethorpes,North East Lincolnshire
Congleton,Cheshire East
Corby,North Northamptonshire
Crewe and Nantwich,Cheshire East
Daventry,West Northamptonshire
Derwentside,County Durham
Durham,County Durham
Easington,County Durham
East Dorset,Dorset
East Northamptonshire,North Northamptonshire
East Yorkshire,East Riding of Yorkshire
Ellesmere Port and Neston,Cheshire West and Chester
Forest Heath,West Suffolk
Gillingham,Medway
Glanford,North Lincolnshire
Great Grimsby,North East Lincolnshire
Hereford,Herefordshire
Holderness,East Riding of Yorkshire
Hove,Brighton and Hove
Kennet,Wiltshire
Kerrier,Cornwall
Kettering,North Northamptonshire
Kingswood,South Gloucestershire
Leominster,Herefordshire (part to Malvern Hills)
Macclesfield,Cheshire East
Malvern Hills,Herefordshire and Malvern Hills
Medina,Isle of Wight
Mid Bedfordshire,Central Bedfordshire
North Cornwall,Cornwall
North Dorset,Dorset
North Shropshire,Shropshire
North Wiltshire,Wiltshire
Northampton,West Northamptonshire
Northavon,South Gloucestershire
Oswestry,Shropshire
Penwith,Cornwall
Poole,"Bournemouth, Christchurch and Poole"
Purbeck,Dorset
Restormel,Cornwall
Rochester-upon-Medway,Medway
Salisbury,Wiltshire
Scunthorpe,North Lincolnshire
Sedgefield,County Durham
Shrewsbury and Atcham,Shropshire
South Bedfordshire,Central Bedfordshire
South Herefordshire,Herefordshire
South Northamptonshire,West Northamptonshire
South Shropshire,Shropshire
South Wight,Isle of Wight
St Edmundsbury,West Suffolk
Suffolk Coastal,East Suffolk
Taunton Deane,Somerset West and Taunton
Teesdale,County Durham
Tynedale,Northumberland
Vale Royal,Cheshire West and Chester
Wansbeck,Northumberland
Wansdyke,Bath and North East Somerset
Waveney,East Suffolk
Wear Valley,County Durham
Wellingborough,North Northamptonshire
West Dorset,Dorset
West Somerset,Somerset West and Taunton
West Wiltshire,Wiltshire
Weymouth and Portland,Dorset
